,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2018,2019,2020,2021,2022,2023
Mozambique,Burglary,Socio-economic indicators,"per 100,000 population",-,8.2,8.3,8.3,8.4,8.4,8.4
Nigeria,Burglary,Socio-economic indicators,"per 100,000 population",-,1.6,1.6,1.6,1.6,1.6,1.6
Rwanda,Burglary,Socio-economic indicators,"per 100,000 population",-,21.2,21.3,22.7,22.2,23.5,24.3
Seychelles,Burglary,Socio-economic indicators,"per 100,000 population",-,"2,187.3","2,208.8","2,221.4","2,229.9","2,235.2","2,238.7"
Uganda,Burglary,Socio-economic indicators,"per 100,000 population",-,18.4,18.1,18.0,17.9,17.8,17.7
United Arab Emirates,Burglary,Socio-economic indicators,"per 100,000 population",-,9.2,8.9,8.8,8.7,8.7,8.6
Zimbabwe,Burglary,Socio-economic indicators,"per 100,000 population",-,414.5,416.0,438.6,454.5,465.8,473.8
North America,Burglary,Socio-economic indicators,"per 100,000 population",-,382.2,349.6,322.8,308.0,297.6,291.3
Canada,Burglary,Socio-economic indicators,"per 100,000 population",-,432.6,429.8,363.3,345.9,325.0,315.4
USA,Burglary,Socio-economic indicators,"per 100,000 population",-,376.5,340.5,318.2,303.6,294.4,288.4
Western Europe,Burglary,Socio-economic indicators,"per 100,000 population",-,419.7,406.5,377.8,373.6,373.5,377.7
Andorra,Burglary,Socio-economic indicators,"per 100,000 population",-,90.1,88.0,93.2,94.0,95.5,96.0
Austria,Burglary,Socio-economic indicators,"per 100,000 population",-,664.6,611.9,544.2,514.1,489.6,475.9
Belgium,Burglary,Socio-economic indicators,"per 100,000 population",-,625.6,567.9,411.3,357.8,305.2,278.7
Cyprus,Burglary,Socio-economic indicators,"per 100,000 population",-,105.1,99.3,72.2,64.0,55.2,50.9
Denmark,Burglary,Socio-economic indicators,"per 100,000 population",-,949.1,831.1,661.1,594.0,561.0,493.2
Finland,Burglary,Socio-economic indicators,"per 100,000 population",-,428.6,409.0,424.2,423.0,426.6,427.2
France,Burglary,Socio-economic indicators,"per 100,000 population",-,548.8,544.7,454.6,462.2,485.5,509.7
Germany,Burglary,Socio-economic indicators,"per 100,000 population",-,394.3,374.9,358.7,349.9,343.6,339.8
Greece,Burglary,Socio-economic indicators,"per 100,000 population",-,164.1,181.8,129.7,163.7,176.4,161.5
Iceland,Burglary,Socio-economic indicators,"per 100,000 population",-,381.9,342.4,310.3,249.4,163.8,117.6
Ireland,Burglary,Socio-economic indicators,"per 100,000 population",-,344.0,329.0,207.5,194.8,211.2,213.7
Liechtenstein,Burglary,Socio-economic indicators,"per 100,000 population",-,367.3,278.8,153.3,99.8,55.0,30.5
Luxembourg,Burglary,Socio-economic indicators,"per 100,000 population",-,606.9,676.9,700.1,559.4,810.4,699.4
Malta,Burglary,Socio-economic indicators,"per 100,000 population",-,275.7,288.4,234.6,224.4,208.4,201.8
Monaco,Burglary,Socio-economic indicators,"per 100,000 population",-,35.8,35.7,35.6,35.6,35.5,35.5
Netherlands,Burglary,Socio-economic indicators,"per 100,000 population",-,367.3,341.0,285.1,264.6,245.5,235.5
Norway,Burglary,Socio-economic indicators,"per 100,000 population",-,291.4,291.4,309.4,274.9,229.2,218.8
Portugal,Burglary,Socio-economic indicators,"per 100,000 population",-,221.9,208.6,185.8,176.8,168.9,164.7
Spain,Burglary,Socio-economic indicators,"per 100,000 population",-,323.3,304.2,284.6,274.9,267.6,263.3
Sweden,Burglary,Socio-economic indicators,"per 100,000 population",-,769.9,737.5,785.7,753.4,760.2,704.8
Switzerland,Burglary,Socio-economic indicators,"per 100,000 population",-,458.2,426.2,381.4,365.4,378.5,423.6
Turkey,Burglary,Socio-economic indicators,"per 100,000 population",-,137.8,138.2,156.4,170.9,179.4,209.3
United Kingdom,Burglary,Socio-economic indicators,"per 100,000 population",-,668.5,669.0,661.7,660.0,657.8,656.8
,,,,,,,,,,
Research Sources:,,,,,,,,,,
Burglary: Euromonitor International from UNODC,,,,,,,,,,
,,,,,,,,,,
Date Exported (GMT): 12/3/2567 6:36:24,,,,,,,,,,
© Euromonitor International,,,,,,,,,,
